,0,1,2,3,4,5
[ 0  1 -1],0.008509897500973697,0.23642393996059602,0.0,0.0,0.004159107050922007,0.0
[ 0  1 -2],0.0031622776608008353,0.05420822837290531,0.0,0.006249973338131935,0.004500596454841214,0.0
[ 0  1 -3],0.01395553156640042,0.004779024445743086,0.0,0.0,0.0,0.0
[ 0  1 -4],0.009459670761574496,0.0,0.0,0.0,0.0,0.0
[ 0  1 -5],0.008195645443613361,0.0,0.0,0.0,0.0,0.0
[ 0  1 -6],0.008429008577189645,0.0,0.0,0.0020428279492290596,0.0,0.0
[ 0  1 -7],0.0062015035554104595,0.0016821919719243864,0.0,0.0013091222118971249,0.001425004028430028,0.0
[ 0  1 -8],0.0,0.0014366299226210434,0.0,0.0,0.008743069324136654,0.0012403473460256603
[ 1  1 -3],0.01596539576055586,0.0,0.003099557336137523,0.0,0.003099557336137523,0.0
[ 1  1 -4],0.0019245008975125862,0.003141696667035706,0.013379549041828682,0.002460878507837285,0.0024563246441955335,0.0
[ 1  1 -5],0.0016222142114783848,0.0,0.0,0.0,0.0,0.0
[ 1  1 -6],0.0014002800841652922,0.0,0.0,0.0,0.0,0.0
[ 1  1 -7],0.0,0.0,0.0,0.0,0.0040909237915888,0.0
[ 2  1 -7],0.0023547101545709475,0.0,0.0,0.0,0.0,0.0
[ 3  1 -8],0.0,0.0,0.0011396057646407794,0.0,0.0,0.0
[ 3  2 -8],0.0010314212463026838,0.0,0.0,0.0,0.0,0.0
[ 3  2 -9],0.0008638684256200408,0.0,0.0,0.0,0.0,0.0
[  3   2 -11],0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0 -3],0.009972676956786561,0.1673450969496693,0.01404872962648103,0.011626472786676964,0.007141697329096228,0.007876898425196337
[ 0  0 -4],0.007604689368129833,0.0,0.0,0.002568442204938168,0.0024962214691812428,0.0
[ 0  0 -5],0.006184775534490013,0.0,0.002553865142064331,0.0,0.0,0.0
[ 0  0 -6],0.004124978179215711,0.0,0.0,0.0,0.0,0.0
[ 0  0 -7],0.007338377777001304,0.0,0.0014624324090289369,0.0014511389473183286,0.0,0.0
[ 0  0 -8],0.007663476198272335,0.001494616828768522,0.0012897071185666662,0.0,0.0,0.0
[ 0  0 -9],0.0,0.006700368795510127,0.0,0.001122451111235984,0.0011043152608562036,0.0
[ 1  0 -9],0.002985298479885749,0.0,0.0,0.0,0.0,0.0
[ 1  1 -2],0.0,0.0,0.0,0.025429701399453594,0.0,0.0
[ 1  0 -2],0.018692586480001272,0.0,0.0,0.0,0.0,0.0
[ 1  0 -3],0.020693390381984977,0.0,0.0,0.0,0.0,0.0
[ 1  0 -5],0.01299892595510643,0.005083059982016424,0.0,0.0020492115203993334,0.0,0.0020492115203993334
[ 1  0 -6],0.011205091160638989,0.0,0.0016947716941993444,0.0016947716941993444,0.0015811388302423035,0.0020299657146907063
[ 1  0 -7],0.007182146528514628,0.0,0.0,0.0,0.0,0.0016923536312338265
[ 1  0 -8],0.0033245266206745074,0.0,0.0,0.0,0.0,0.0
[ 1  2 -4],0.010752630245447063,0.0,0.0,0.0,0.0,0.0
[ 1  2 -5],0.0,0.00894889155113495,0.0,0.00182574185847227,0.0,0.0
[ 1  0 -4],0.01873727252021066,0.0,0.0,0.0,0.0022360679777233966,0.004950008071719141
[  1   0 -10],0.0,0.003333303744226413,0.0,0.0,0.0,0.0
[ 0  0 -2],0.14888272685244763,0.030307209314666995,0.011289387735881777,0.015867828261189425,0.0,0.016687305016290382
[0 0 0],0.010000000010000001,0.0,0.0,0.0,11541231.981140528,0.0
[ 0  0 -1],0.0,5877373.829726522,0.0,0.043813683744283925,0.005651386979292271,0.01015357598085006
terminal,0.025135505057412445,0.0,0.0,0.0,0.0,0.0
[ 1  1 -8],0.0010976425999894757,0.0,0.0,0.002478671939745449,0.0,0.0
