,0,1,2,3,4,5
[ 0  1 -1],131010.46176904874,3519668.9219763796,245394.4293407357,72886879.1256068,140911.1289779142,711475.8202579494
[ 0  1 -2],21695.40755086458,26752207.802215677,167365.92689093825,3053477.0921774292,412545.7829619876,1511835.8812810606
[ 0  1 -3],6564.665989063085,3073572.4657942755,18915.347307024436,128440.18687607643,7899.047201630842,12019.706134403668
[ 0  1 -4],0.059680812466929606,273324.93849015527,0.0,0.5632099672963619,0.002784526532865066,0.0027678116499140226
[ 0  1 -5],0.04432277945952568,0.0028667532722998373,0.005956291636135711,0.006388676917024505,0.0065085671330197565,0.004329727965831387
[ 0  1 -6],0.03368215378045209,0.006673752976097918,0.0016369972586771425,0.00204282794922906,0.0016348167322358725,0.0036497816982655387
[ 0  1 -7],0.02390432913546215,0.005290368537760429,0.0028526030963070517,0.002813044967971154,0.001425004028430028,0.0
[ 0  1 -8],0.0,0.003016988474379115,0.0014243642134828818,0.0,0.03057227943697313,0.0012403473460256605
[ 1  1 -3],0.21484497760297674,494289.18361403677,1780.2816118296635,0.0033766805680141487,3220.750892615247,435.59888907058814
[ 1  1 -4],0.0019245008975125864,1653.1531379997575,15.156802815057006,0.005972343175101992,0.0024563246441955326,0.0053707068796105956
[ 1  1 -5],0.003253616661976505,0.0,0.0,0.0,0.0,0.0
[ 1  1 -6],0.005651035612366653,0.0,0.0,0.0,0.0,0.0
[ 1  1 -7],0.0,0.0,0.0,0.0,0.006770530879127169,0.0
[ 2  1 -7],0.0047515533389408185,0.0016267700346239142,0.0,0.0,0.0,0.0
[ 3  1 -8],0.0,0.0,0.0011396057646407794,0.0,0.0,0.0
[ 3  2 -8],0.0010314212463026838,0.0,0.0,0.0,0.0,0.0
[ 3  2 -9],0.0008638684256200407,0.0,0.0,0.0,0.0,0.0
[  3   2 -11],0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0 -3],19.066807797911533,67067465.726027556,423191.7128137613,1449677.7828272963,857831.1492431278,987096.7348307874
[ 0  0 -4],0.01352850175990275,0.0,4220.902622372681,0.0025684422049381678,0.005075289380978267,0.0
[ 0  0 -5],0.01110079471358768,0.0024606785344309873,0.004583989470854098,0.0020704404736473225,0.004268021032804212,0.0
[ 0  0 -6],0.007050828196604865,0.0020999071528222894,0.0,0.0,0.0,0.0
[ 0  0 -7],0.012324751947390983,0.0,0.0014624324090289364,0.0029648939805198525,0.0,0.0
[ 0  0 -8],0.013118785174592931,0.0014946168287685222,0.002635112665860297,0.0,0.001338680997271765,0.0
[ 0  0 -9],0.0,0.010487338647020596,0.0,0.001122451111235984,0.0011043152608562036,0.0
[ 1  0 -9],0.00987564652237656,0.0,0.0,0.001140139602627956,0.0,0.0
[ 1  1 -2],3853.047128790874,48760.72586923724,31347.499266596737,1943674.461727871,4458.0576070237385,1859674.6112881366
[ 1  0 -2],72428.64470936342,5893519.948312125,87693.56679092377,204422.45000675748,104792.79991441405,1865588.0541611377
[ 1  0 -3],14.9726065315917,49805.9694474764,4007.9421538764905,78801.87132473176,128135.94491118773,7261976.866718094
[ 1  0 -5],0.030125833410437966,0.010330286154693781,0.0,0.0039728288541208395,0.0,0.002049211520399333
[ 1  0 -6],0.02337206777705525,0.002136078849302856,0.0052066466812219865,0.0016947716941993446,0.0015811388302423035,0.0020299657146907067
[ 1  0 -7],0.017769410350689456,0.0,0.0,0.0,0.0,0.0016923536312338267
[ 1  0 -8],0.015653741724813233,0.0017571369114487221,0.003946747874567412,0.0,0.0024702435300442797,0.0
[ 1  2 -4],0.041140672253412044,18.684068101118555,0.0,0.0,0.0017900148797838794,0.00469439406953499
[ 1  2 -5],0.0,0.6351725772122869,0.0017480967372237551,0.00182574185847227,0.003684487216815659,0.0
[ 1  0 -4],0.03715215960331617,449122.53090656246,0.002627986357209384,0.0033701548475313465,0.002236067977723397,0.004950008071719141
[  1   0 -10],0.0,0.007979966130574419,0.0,0.0,0.0,0.0
[ 0  0 -2],2108517.435981429,209127915.5960844,6077270.081758596,12121572.742498193,4083187.842740753,10920049.685677
[0 0 0],2259385.005495124,5922584.5805687895,89186946.51786365,6130267.488592972,23697240.730414085,0.0
[ 0  0 -1],3269767.0990254674,453966356.36465067,16036989.118029613,36230080.03998738,13249708.753455276,34648004.99296729
terminal,0.025135505057412445,12941892.351495314,5914081.5946790045,5871298.196565582,6068964.873707042,81068796.30581415
[ 1  1 -8],0.0010976425999894757,0.0,0.0,0.018021443934936186,0.001213563480533915,0.0
[ 1  1 -9],0.000990147543054333,0.001360934986836704,0.0,0.0,0.0,0.0
[  1   1 -10],0.0,0.0,0.0,0.0,0.0,0.0
[ 2  0 -6],0.002572547708508977,0.0,0.001637974503540961,0.009372737199805867,0.0014744195616771818,0.0
[ 2  0 -7],0.0,0.0,0.0,0.0,0.0,0.0028073281961711184
[ 0 -1 -1],0.016552869064052005,0.0,0.0,0.0,0.0,0.007220043640513011
[0 1 0],0.0,0.0,0.0,0.0,0.0,0.0
[ 2  1 -8],0.004266519887584672,0.0,0.0,0.0,0.0,0.0
[ 2  1 -9],0.0009759000730135931,0.0,0.0,0.0,0.0,0.0
[ 1  3 -5],0.0014744195616130766,0.0,0.011078485586505727,0.002161074437607955,0.0016222142113076256,0.0
[ 1  3 -6],0.0,0.0017035782855598456,0.0,0.0,0.0,0.0
[ 1  4 -5],0.0023740684428413287,0.0017550256182830351,0.0,0.0015710279432212904,0.0,0.005994378638828366
[ 1  5 -7],0.001054092553412884,0.0,0.0,0.0,0.0,0.0
[ 1  5 -8],0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1 -2],0.003162277661433291,0.0,0.0,0.0035355339077005046,0.0,0.03844353070671908
[ 0 -1 -3],0.007291337058073836,0.0,0.0,0.0,0.0,0.0
[ 0 -1 -4],0.011267304043088618,0.0,0.0,0.002357022604478941,0.0,0.002478173647306916
[ 0 -1 -5],0.0,0.007377770666159074,0.0,0.0,0.0,0.0
[ 2  2 -4],0.0017407765596097287,0.014412163724103342,0.0021279185715809045,0.0,0.0018569533817064856,0.0
[ 2  2 -5],0.0,0.004093247798298047,0.0,0.0,0.0016222142113076256,0.0
[ 1  0 -1],91842.74140043123,14206758.52426287,252806.73407697986,90707.63013505828,51.231544903025124,2317657.001821564
[ 2  0 -4],0.009200475604127557,0.0,0.0,0.0,0.0,0.0
[ 2  0 -5],0.004823318185487282,0.0,0.0,0.0,0.0018857822025821398,0.0
[ 3 -1 -6],0.0013018891099185685,0.0,0.0,0.0,0.0,0.0
[ 3 -1 -7],0.0,0.0,0.0,0.0,0.0,0.0
[ 1  1 -1],1028.3398235420602,0.27710608667419095,56955.68407007131,23318.35805842535,29989.083301776078,9935887.18575809
[ 0  2 -1],67.53167629109842,0.3260499570002713,0.003162277659535924,0.0,0.6004205282365083,0.004967135954082652
[ 0  2 -2],8449.456968000051,0.20144724095935726,21.88262259979447,0.007975010817761046,0.0,0.0
[ 0  2 -3],0.00702118130368479,37.58788316895187,66.15903874852465,153316.14123853837,1233.8580610846732,7.9115416883956895
[ 1  2 -3],0.0,2589.431681432188,0.0023325629319248995,0.003158802007896741,0.0,0.0027010416371953147
[ 0  2 -7],0.0,0.0034755485114514977,0.0,0.0,0.0013608276349803454,0.0
[ 0  2 -6],0.0,0.001770849277924828,0.0,0.0016369972586771425,0.009300630673775892,0.0
[ 1  2 -6],0.005273084885331395,0.0,0.0,0.0,0.0,0.0
[ 1  2 -8],0.002053228525297014,0.0,0.0,0.0,0.0,0.0
[ 0 -2 -2],0.0022360679781706105,0.0,0.0,0.0,0.0,0.0
[ 0 -2 -4],0.0,0.0,0.004674385832819891,0.0,0.0,0.0
[ 1  3 -3],0.0039181854614915995,0.0,0.0061983791393899635,0.0,0.0,0.0
[ 1  3 -4],0.0034921958263748705,0.0,0.0,0.0,0.0,0.0
[ 1  4 -7],0.0011111111111522637,0.0,0.0,0.0,0.0,0.0
[ 1  4 -8],0.0010101525445934414,0.0,0.0,0.0,0.0,0.0
[ 1  4 -9],0.0,0.0,0.0,0.0,0.0,0.0
[0 2 0],0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1 -4],0.005619166382060992,0.0,0.0,0.0,0.0,0.0
[ 1 -2 -5],0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0
[ 2  0 -9],0.0,0.0,0.0,0.002152133498425473,0.0,0.0
[ 2 -1 -9],0.000975900073032182,0.0,0.0,0.0,0.0,0.0
[  2  -1 -10],0.0,0.0,0.0,0.0,0.0,0.0
[ 0  3 -5],0.0,0.0,0.001770849277924828,0.01053721010698425,0.0,0.0
[ 0  2 -5],0.007524290136696235,0.0022528929728680763,0.006275293037210328,0.0018981424370608008,0.10759139777271785,0.0
[ 1  2 -7],0.0045121715835438805,0.0,0.0,0.0,0.0,0.0
[ 1  2 -9],0.0009759000730135932,0.0,0.0,0.0,0.0,0.0012135634805339147
[1 0 0],0.0,0.0,0.0,0.0,0.11993999998001001,0.0
[ 0  4 -5],0.0026272874443115353,0.0,0.0,0.0,0.0,0.0
[ 0  4 -7],0.0,0.0,0.0,0.0,0.002468858782320837,0.0
[-1  0  0],0.0,0.0,0.0,0.0,0.0,0.0
[ 0  2 -8],0.0021672832815552816,0.0,0.0,0.0,0.0,0.0
[ 0  2 -9],0.0009805806757663496,0.0,0.0,0.0,0.0,0.0
[  0   2 -10],0.0008944271910643148,0.0,0.0,0.0,0.0,0.0
[  0   2 -11],0.0008219949365823267,0.0,0.0,0.0,0.0,0.0
[  0   2 -12],0.0,0.0,0.0,0.0,0.0,0.0
[  2   1 -10],0.0,0.0,0.0,0.0,0.0,0.0
[ 2  0 -2],744.5391524808003,0.0046720565066099085,0.0327919261202978,0.0,0.0,374084.60853646026
[ 2  0 -3],0.006740804315279941,84822.83057207524,729.0773780592409,0.0,0.0,0.0
[ 2  0 -8],0.0,0.0,0.0,0.0024044098750156014,0.0,0.0
[-1  1 -1],0.00408248290599946,0.0,0.0,0.0,115698.91224090198,0.0
[-1  1 -2],0.008352873606850745,0.0,0.0,0.0,0.0,0.0
[-1  1 -4],0.007350102057132693,0.0,0.0,0.0,0.0,0.0
[-1  1 -5],0.0016222142115637644,0.0,0.0,0.0019738892738978106,0.0,0.0
[-1  1 -6],0.004170050112331914,0.0,0.0,0.001961161351834416,0.0,0.0
[-1  1 -7],0.0012309149099425291,0.0,0.0,0.0,0.0,0.0
[ 0  2 -4],0.01984128164768865,0.0,0.0,0.0,0.006892181693669409,0.0047362483374065265
[ 2  1 -2],0.0,0.0,0.0029053189723941453,6227.598137065925,0.0035085689930106794,0.0
[ 2  1 -3],0.014642460214613772,0.0,0.0,0.0,0.0,0.002785439443000889
[ 2  1 -4],0.009143523557587671,0.0,0.0,0.0,0.0,0.0
[ 2  1 -5],0.009163646939980343,0.002248061973257853,0.0,0.0,0.0,0.0018679337401044105
[ 2  1 -6],0.0,0.0072258239581755755,0.0015948149691244222,0.0,0.0,0.0
[ 2  2 -3],0.010112244220645576,0.0,0.0,0.0,0.0,8.98528670856068
[ 0  4 -6],0.0,0.0,0.002665607731931587,0.0,0.0,0.0013867504906164094
[ 2  0 -1],0.0036287278031626735,0.0,0.0,0.0,0.02517507547649469,0.0037698712595622525
[ 1 -1 -1],0.007099434495437634,0.0,0.0,0.0,0.0,0.0
[ 1 -1 -2],0.006021436847264748,0.0,0.0,0.0,0.0,0.0
[ 1 -1 -3],0.0068751058116846495,0.0,0.0,0.0030577764184981687,0.0,0.0
[ 1 -1 -5],0.0,0.0,0.004335668558667919,0.0,0.0,0.0
[ 2  1 -1],0.0027118431283579074,0.10839955054510944,0.006659314093231424,0.0,0.0,0.0
[ 1  2 -2],37.28707434179068,0.17437339669319216,0.0026934186888591676,86643.67103856959,0.0,0.0
[ 1  2 -1],18.290145204079796,0.0,0.1759327376005249,0.0,0.003380882492962319,0.0
[ 2  2 -1],0.007362414844772951,0.0,0.0,0.0,0.0,0.0
[ 2  2 -2],0.00454018484090377,0.0,0.0,0.0,0.0,0.0
[  1   2 -10],0.0,0.0,0.0,0.0,0.0,0.0010871108327667385
[ 1  3 -2],0.002311807790747309,0.009084008381979173,0.0,0.0,0.0024253562499353255,0.0
[ 3  0 -2],0.004708474981871486,0.0,0.0,0.0,0.0,0.0
[ 3  0 -3],0.0039980000001599205,0.0022360679772761827,0.0,0.0,0.0,0.0
[ 3  0 -4],0.0,0.0,0.0,0.0,0.0037477669530455687,0.0
[ 1  4 -3],0.0031270538426647755,0.0,0.0,0.0,0.0,0.0
[ 1  5 -5],0.0012700012700019052,0.0,0.0,0.0,0.0,0.0
[ 1  5 -6],0.0011641873713753637,0.0,0.0,0.0,0.0,0.0
[ 3  2 -4],0.0,0.0,0.0,0.0019611613513818406,0.001666666666574074,0.0
[ 4  2 -4],0.0014907119849667328,0.0,0.0,0.0,0.0,0.0
[ 4  2 -5],0.0,0.0,0.0,0.0,0.0,0.0
[ 2  3 -5],0.0013608276348795435,0.0,0.0,0.0,0.0,0.0
[ 3  3 -6],0.0012216944435812867,0.0,0.0,0.0,0.0,0.0
[ 3  3 -7],0.0011043152607754,0.0,0.0,0.0,0.0,0.0
[ 3  3 -8],0.0,0.0,0.0,0.0,0.0,0.0
[-1  0 -1],0.047422618882536786,0.060000000010000006,0.0,0.0,0.0,0.0
[-1  0 -2],0.0,0.04253033110935228,0.004103696109439769,0.0,1082242.6190757146,0.0
[ 4  0 -4],0.0,0.0,0.0,0.0017818225915360003,0.0015617376188479695,0.0
[ 5  0 -4],0.001414213562373095,0.0,0.0,0.0,0.0,0.0
[ 5  0 -5],0.0012803687993499493,0.0,0.0,0.0,0.0,0.0
[ 5  0 -6],0.001162476387469611,0.0,0.0,0.0,0.0,0.0
[ 5  0 -7],0.0,0.0,0.0,0.0,0.0,0.0
[-1 -1 -2],0.0,0.0,0.0,0.013606372021510464,0.0,0.0
[-1 -1 -3],0.0,0.0,0.006147239974109951,0.0,0.0,0.0
[-1  0 -3],0.0024253562510766695,0.0,0.0,0.0,0.0,0.0
[-1  0 -4],0.0,0.0,0.0,0.0,0.0,0.0
[2 1 0],0.0,0.0,0.0,0.0,0.0,0.0
[1 1 0],0.0,0.0,0.0,0.0,0.0,0.0
[ 2  3 -2],0.0021320071633622855,0.0,0.0,0.0,0.0,0.0
[ 2  3 -3],0.0018569533817064856,0.0,0.0,0.0,0.0,0.0
[ 2  3 -4],0.0014907119849667328,0.0,0.0,0.0,0.0,0.0
[ 2  4 -5],0.0012038585308751391,0.0,0.0,0.0,0.0,0.0
[ 2  4 -7],0.0010910894512059404,0.0,0.0,0.0,0.0,0.0
[ 2  4 -8],0.0009950371902395447,0.0,0.0,0.0,0.0,0.0
[ 2  4 -9],0.0,0.0,0.0,0.0,0.0,0.0
[ 3  2 -3],0.0018719533817056525,0.0,0.0,0.0,0.0,0.0
[ 3  1 -4],0.0016903085095053279,0.0,0.0,0.0,0.0,0.0
[-1  1 -3],0.00710101280614192,0.0,0.0,0.0,0.0,0.0
[ 2 -1 -8],0.0,0.0,0.0,0.0,0.0,0.0
[ 3  0 -1],0.002393004603956598,0.0,0.0,0.0,0.0,0.0
[ 4  0 -2],0.00199999999992,0.0,0.0,0.0,0.0,0.0
[ 4  0 -3],0.0017818225915360003,0.0,0.0,0.0,0.0,0.0
[-1  1 -8],0.001097642600015925,0.0,0.0,0.0,0.0,0.0
